,name,quantity,set,price_ftf
0,Sword of War and Peace - Borderless,1,Double Masters: Alternate Art,31.99
1,Sword of Light and Shadow - Borderless,1,Double Masters: Alternate Art,49.99
2,Coat of Arms,1,Tenth Edition,22.99
3,Wurmcoil Engine,2,Scars of Mirrodin Promos,39.99
4,Howling Mine,3,Tenth Edition,9.99
5,Altar of Dementia,2,Modern Horizons,8.99
6,Rise of the Eldrazi Intro Pack - Eldrazi Arisen,2,Rise of the Eldrazi,14.99
7,Ratchet Bomb,1,Double Masters,0.49
8,Walking Ballista,2,Aether Revolt,24.99
9,Masterwork of Ingenuity,1,Commander 2014,2.99
10,Basilisk Collar,1,Double Masters,5.99
11,Sundering Titan,1,Double Masters,0.75
12,Spellskite,2,Double Masters,4.99
13,Karn Liberated,1,Double Masters,39.99
14,Oblivion Stone,1,Double Masters,3.99
15,Platinum Angel,1,Kaladesh Inventions,349.99
16,Rings of Brighthearth,1,Lorwyn,14.99
17,Mycosynth Lattice,1,Darksteel,59.99
18,Krark-Clan Ironworks,1,World Championship Decks 2004,3.99
19,Thopter Assembly,1,Duel Decks: Elves vs. Inventors,0.49
20,Sword of the Meek,1,Future Sight,3.99
21,Trading Post,1,Magic 2014,0.49
22,Darksteel Forge,1,Darksteel,24.99
23,Mishra's Bauble,4,Mystery Booster,24.99
24,Basalt Monolith,1,Commander 2013,3.99
25,Celestial Colonnade,2,Ultimate Masters,5.99
26,"Mikokoro, Center of the Sea",1,Masters 25,7.99
27,Waterlogged Grove,1,Modern Horizons,12.99
28,Dark Depths,1,Double Masters,34.99
29,Graven Cairns,1,Iconic Masters,6.49
30,Glimmervoid,1,Double Masters,3.99
31,Academy Ruins,1,Time Spiral,14.99
32,Blackcleave Cliffs,4,Scars of Mirrodin,29.99
33,Geist of Saint Traft,4,Innistrad,2.99
34,Geist of Saint Traft,1,Double Masters,2.99
35,Grand Arbiter Augustin IV,1,Dissension,34.99
36,Meddling Mage,1,Double Masters,2.99
37,Meddling Mage,2,Alara Reborn,3.99
38,"Hanna, Ship's Navigator",1,Masters 25,2.39
39,Eladamri's Call,1,Modern Horizons,7.99
40,Gaddock Teeg,1,Ultimate Masters,7.99
41,Rhys the Redeemed,1,Double Masters,4.99
42,Kolaghan's Command,3,Dragons of Tarkir,14.99
43,Lightning Skelemental,1,Modern Horizons,1.99
44,"Muldrotha, the Gravetide",1,The List,9.99
45,Riku of Two Reflections,1,Commander 2011,9.99
46,"Karrthus, Tyrant of Jund",1,Alara Reborn,6.99
47,"Kykar, Wind's Fury",1,Core Set 2020,7.99
48,"Hogaak, Arisen Necropolis",1,Modern Horizons,1.49
49,Maelstrom Pulse,1,Double Masters,2.99
50,Eternal Masters Booster Pack,2,Eternal Masters,29.99
51,Time Sieve,1,Alara Reborn,2.44
52,Utter End,1,Khans of Tarkir,2.99
53,"Jhoira, Weatherlight Captain",1,Dominaria,3.49
54,Dictate of Erebos,1,Mystery Booster,24.99
55,Fatal Push,2,Double Masters,1.99
56,Toughtseize,1,Double Masters,24.99
57,Toxic Deluge,1,Double Masters,29.99
58,Dark Confidant,1,Double Masters,49.99
59,Plague Engineer,2,Modern Horizons,7.99
60,"Liliana, the Last Hope",1,Eldritch Moon,44.99
61,Street Wraith,4,Future Sight,4.99
62,Scale Up,2,Modern Horizons,0.99
63,Awakening Zone,1,Double Masters,2.99
64,Tireless Tracker,3,Shadows over Innistrad,15.99
65,Wrath of God,1,Eternal Masters,7.99
66,Sigarda's Aid,1,Eldritch Moon,6.39
67,Path to Exile,1,Commander 2011,6.99
68,"Elspeth, Sun's Nemesis",1,Theros Beyond Death Promos,3.99
69,Gideon Blackblade,2,War of the Spark,4.99
70,Open the Armory,1,Shadows over Innistrad,0.75
71,Steelshaper's Gift,1,Fifth Dawn,34.99
72,Terminus,5,Modern Masters 2017,2.49
73,Terminus,1,Modern Masters 2017,5.99
74,Stonehewer Giant,2,Modern Masters,4.99
75,Flickerwisp,1,Double Masters,0.25
76,Ethersworn Canonist,1,Double Masters,3.99
77,Smothering Tithe,1,Ravnica Allegiance,49.99
78,Goblin Tutor,1,Unsanctioned,0.49
79,Council's Judgment - Borderless,2,Double Masters: Alternate Art,7.99
80,Scrap Mastery,1,Commander 2014,9.99
81,Goblin Guide,2,Double Masters,11.99
82,Tuktuk the Explorer,1,Double Masters,0.49
83,Abrade,3,Double Masters,0.99
84,Dragonmaster Outcast,1,Battle for Zendikar,2.99
85,"Daretti, Scrap Savant",1,Mystery Booster,2.49
86,Goblin Welder,1,Urza's Legacy,11.99
87,"Kiki-Jiki, Mirror Breaker",2,Modern Masters,19.99
88,"Kiki-Jiki, Mirror Breaker",1,From the Vault: Legends,21.99
89,Dreadhorde Arcanist,1,War of the Spark Promos,11.99
90,Force of Will - Borderless,1,Double Masters: Alternate Art,299.99
91,Propaganda,1,Commander 2011,8.99
92,Spell Snare,2,Modern Masters,0.99
93,"Narset, Parter of Veils",1,War of the Spark,2.49
94,Tezzeret the Seeker,1,Shards of Alara,27.99
95,"Tezzeret, Artifice Master",1,Core Set 2019,14.99
96,"Padeem, Consul of Innovation",1,Kaladesh,2.99
97,"Braids, Conjurer Adept",1,Double Masters,0.99
98,Snapcaster Mage,1,Modern Masters 2017,74.99
99,Snapcaster Mage,1,Ultimate Masters,74.99
100,Cryptic Command,3,Lorwyn,39.99
101,"Search for Azcanta // Azcanta, the Sunken Ruin",2,Ixalan,11.99
102,Clever Impersonator,1,Khans of Tarkir,4.99
103,"Emry, Lurker of the Loch",1,Throne of Eldraine,4.99
104,Cyclonic Rift,1,Return to Ravnica,44.99
105,Whir of Invention,2,Aether Revolt,2.99
106,Master Transmuter,1,Archenemy,3.99
107,Dictate of Kruphix,3,Journey into Nyx Promos,5.99
108,TOTAL,155,,2696.98
